Date;Retail and food services sales, total;Retail sales and food services excl motor vehicle and parts;Retail sales and food services excl gasoline stations;Retail sales and food services excl motor vehicle and parts and gasoline stations;Retail sales, total;Retail sales, total (excl. motor vehicle and parts dealers);Motor vehicle and parts dealers;Automobile and other motor vehicle dealers;Automobile dealers;New car dealers;Used car dealers;Automotive parts, acc., and tire stores;Furniture, home furn, electronics, and appliance stores;Furniture and home furnishings stores;Furniture stores;Home furnishings stores;Floor covering stores;All other home furnishings stores;Electronics and appliance stores;Household appliance stores;Electronics stores;Building mat. and garden equip. and supplies dealers;Building mat. and supplies dealers;Paint and wallpaper stores;Hardware stores;Food and beverage stores;Grocery stores;Supermarkets and other grocery (except convenience) stores;Beer, wine, and liquor stores;Health and personal care stores;Pharmacies and drug stores;Gasoline stations;Clothing and clothing access. stores;Clothing stores;Men's clothing stores;Women's clothing stores;Family clothing stores;Other clothing stores;Shoe stores;Jewelry stores;Sporting goods, hobby, musical instrument, and book stores;Sporting goods stores;Hobby, toy, and game stores;Book stores;General merchandise stores;Department stores;Department stores(excl. discount department stores);Discount dept. stores;Other general merchandise stores;Warehouse clubs and superstores;All other gen. merchandise stores;Miscellaneous store retailers;Office supplies, stationery, and gift stores;Office supplies and stationery stores;Gift, novelty, and souvenir stores;Used merchandise stores;Nonstore retailers;Electronic shopping and mail-order houses;Fuel dealers;Food services and drinking places;Drinking places;Restaurants and other eating places;Full service restaurants;Limited service eating places
2019-01-01;456538;368649;420099;332210;399461;311572;87889;80625;76147;67012;9135;7264;15980;8818;4628;4190;0;2246;7162;1198;5964;26620;23425;912;2083;62829;57184;54876;3933;28639;24194;36439;16155;11955;630;2400;6606;1179;2187;1788;5658;2784;1131;1029;51708;8681;2367;6314;43027;37147;5880;9141;2039;1014;1025;1366;58403;49099;4656;57077;0;50245;24924;25321
2019-02-01;442274;352651;406760;317137;384967;295344;89623;82469;77461;67456;10005;7154;15191;8629;4616;4013;0;2088;6562;1177;5385;24039;21061;860;1910;56898;51284;49031;3916;26772;22372;35514;17961;12514;591;2571;6905;1212;2722;2484;5249;2876;1088;585;50626;9108;2641;6467;41518;35759;5759;8938;1940;833;1107;1342;54156;45894;3987;57307;0;50014;24992;25022
2019-03-01;513845;403490;471780;361425;447155;336800;110355;101927;94814;82564;12250;8428;17210;10018;5503;4515;0;2353;7192;1334;5858;29916;25871;1029;2340;63504;57216;54609;4445;28786;23599;42065;22059;16212;733;3430;9058;1458;3383;2197;6353;3700;1265;603;58788;10615;3080;7535;48173;41608;6565;10028;2154;889;1265;1526;58091;49797;3738;66690;0;58242;28567;29675
2019-04-01;506920;403550;462650;359280;442921;339551;103370;95090;87537;76907;10630;8280;16068;9579;5065;4514;0;2300;6489;1310;5179;34033;29233;982;2517;62402;56053;53382;4358;28402;23766;44270;21500;15820;846;3438;8747;1285;3043;2378;6253;3678;1159;650;56991;10422;3098;7324;46569;39923;6646;10492;2166;848;1318;1583;59140;51785;2612;63999;0;55676;27052;28624
2019-05-01;544203;432418;496816;385031;475897;364112;111785;103213;94742;83937;10805;8572;17408;10296;5566;4730;0;2480;7112;1471;5641;37235;32196;1192;2821;66510;59656;56715;4861;29487;24612;47387;23079;16829;852;3636;9381;1395;3018;2898;6522;3826;1235;696;60909;11267;3287;7980;49642;42586;7056;12343;2497;828;1669;1446;63232;55752;2193;68306;0;59735;29627;30108
2019-06-01;515269;410619;470393;365743;448595;343945;104650;96499;88523;78207;10316;8151;16742;9759;5335;4424;0;2200;6983;1398;5585;33517;29265;1174;2579;64479;57791;54902;4769;27642;22692;44876;21116;15728;740;3116;9009;1496;2796;2291;6671;4165;1169;613;58979;10605;3014;7591;48374;41710;6664;11183;2359;751;1608;1415;58740;51981;1785;66674;0;58908;29112;29796
2019-07-01;528710;419527;482318;373135;462097;352914;109183;100703;93041;82550;10491;8480;17358;10188;5496;4692;0;2454;7170;1523;5647;33691;29938;1248;2524;66428;59460;56476;4993;28142;23437;46392;21742;15971;669;3104;9246;1472;3093;2405;6636;4133;1178;591;58759;10610;2940;7670;48149;41581;6568;11234;2595;891;1704;1456;62532;55604;1857;66613;0;59300;29069;30231
2019-08-01;541951;427360;496002;381411;473482;358891;114591;105884;98738;88148;10590;8707;18135;10616;5705;4911;0;2577;7519;1467;6052;32375;28915;1257;2525;66937;59954;56957;5017;28528;23562;45949;23829;17028;714;3169;10034;1496;3988;2519;7608;4368;1269;1124;61777;11542;3054;8488;50235;43575;6660;11689;2782;1260;1522;1632;62064;54963;1954;68469;0;59998;29623;30375
2019-09-01;493076;393464;450325;350713;429556;329944;99612;91758;85985;76300;9685;7854;17239;10116;5631;4485;0;2305;7123;1357;5766;29963;26662;1149;2317;62420;56083;53251;4454;27297;22515;42751;19567;14374;725;2923;8193;1225;2594;2330;6325;3403;1254;871;54785;9732;2858;6874;45053;38806;6247;10711;2324;893;1431;1557;58886;51913;2041;63520;0;54572;26720;27852
2019-10-01;522195;418339;477847;373991;456436;352580;103856;95219;89711;79728;9983;8637;17368;10272;5432;4840;0;2506;7096;1409;5687;32629;28697;1162;2549;64849;58172;55304;4676;29551;24856;44348;21400;16070;777;3226;9347;1287;2721;2353;6435;3526;1407;650;58872;10441;2921;7520;48431;41653;6778;11933;2846;831;2015;1842;65195;57196;2666;65759;0;56410;27595;28815
2019-11-01;532130;430888;490706;389464;469003;367761;101242;93303;88406;78776;9630;7939;20279;11037;5793;5244;0;3083;9242;1500;7742;29793;26220;940;2335;66363;59224;56499;5057;27844;22815;41424;25170;18992;830;3664;11232;1577;3038;2809;7382;3825;2064;640;66356;13360;4135;9225;52996;45788;7208;11641;2270;770;1500;1624;71509;63340;3371;63127;0;54745;27221;27524
2019-12-01;587471;483860;546509;442898;521467;417856;103611;96137;91579;82739;8840;7474;22075;11189;5438;5751;0;3746;10886;1423;9463;28621;24990;829;2337;70028;60938;58214;6326;31479;25195;40962;35157;24357;1003;4274;14433;2296;4044;6188;9665;5337;2305;1074;77926;18276;6153;12123;59650;51201;8449;12227;2950;911;2039;1511;89716;80543;4110;66004;0;57953;29811;28142
